1622715695.251996;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715695.313513;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715695.373222;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715695.432239;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715695.494194;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715695.552099;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715695.612234;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715695.670015;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715695.730726;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715695.78836;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715695.846773;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715695.903718;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715695.963593;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715696.019675;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715696.079638;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715696.137932;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715696.196943;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715696.252078;26;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715742.739788;27;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715743.330185;27;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715743.53573;28;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715743.650929;28;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715744.065677;28;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715744.129581;28;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715744.188809;28;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715744.247574;28;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715744.309816;28;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715744.370563;28;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715744.429743;28;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715744.485934;28;-5.4833784103393555;3.3324384689331055;-30.391315460205078;-1.0748146772384644;-0.7565852999687195;-0.9624943137168884;4.00010347366333;9.01733112335205;4.000105381011963
1622715744.546117;29;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715744.546326;28;-5.483150005340576;3.3343429565429688;-30.391155242919922;-1.0748841762542725;-0.7564451098442078;-0.9625274538993835;4.000105857849121;9.017313957214355;4.000106334686279
1622715744.604138;28;-5.480968475341797;3.297543525695801;-30.39556121826172;-1.0749222040176392;-0.7574978470802307;-0.9616564512252808;4.0002217292785645;9.017793655395508;4.000221252441406
1622715744.664438;29;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715744.664654;28;-5.4833269119262695;3.3210277557373047;-30.392574310302734;-1.0746948719024658;-0.7570698261260986;-0.9622467160224915;4.000228404998779;9.017494201660156;4.00023078918457
1622715744.723556;29;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715744.723778;28;-5.482624053955078;3.3434677124023438;-30.390241622924805;-1.0750964879989624;-0.7559163570404053;-0.9627051949501038;4.00018835067749;9.017237663269043;4.000186920166016
1622715744.783584;28;-5.482457160949707;3.327077865600586;-30.392070770263672;-1.0749459266662598;-0.7565873265266418;-0.9623461961746216;4.000198841094971;9.017430305480957;4.0001983642578125
1622715744.846075;28;-5.4846978187561035;3.328428268432617;-30.391521453857422;-1.0744940042495728;-0.7570911645889282;-0.9624549150466919;4.000169277191162;9.017376899719238;4.000168323516846
1622715744.902751;28;-5.485498428344727;3.3242111206054688;-30.391841888427734;-1.0742785930633545;-0.7574760913848877;-0.9623925685882568;4.000143527984619;9.017411231994629;4.00014591217041
1622715744.962929;28;-5.4862165451049805;3.314464569091797;-30.392772674560547;-1.074014663696289;-0.7580835819244385;-0.9622083306312561;4.000133514404297;9.017518997192383;4.0001301765441895
1622715745.020531;28;-5.483798503875732;3.323056221008301;-30.39227294921875;-1.0746201276779175;-0.7570998072624207;-0.9623072743415833;4.000143527984619;9.017474174499512;4.00014591217041
1622715745.080035;28;-5.483348846435547;3.3253097534179688;-30.392105102539062;-1.0747398138046265;-0.7568885087966919;-0.9623398780822754;4.000153064727783;9.017459869384766;4.00015115737915
1622715745.136484;28;-5.484853744506836;3.3409948348999023;-30.390108108520508;-1.074605107307434;-0.7565820217132568;-0.9627305865287781;4.000100612640381;9.017244338989258;4.000102519989014
1622715745.197037;28;-5.483828544616699;3.347846031188965;-30.38953971862793;-1.074895977973938;-0.7560271620750427;-0.9628420472145081;4.000057220458984;9.017176628112793;4.000057220458984
1622715745.197248;29;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0
1622715745.256873;28;-5.484182357788086;3.2972898483276367;-30.39500617980957;-1.074242115020752;-0.7583228349685669;-0.9617660045623779;4.000138282775879;9.017768859863281;4.000137805938721
1622715745.314501;28;-5.482621669769287;3.3029613494873047;-30.394672393798828;-1.0746361017227173;-0.7576802372932434;-0.9618324637413025;4.000211238861084;9.01775074005127;4.0002121925354
1622715745.372797;28;-5.485652923583984;3.326107978820801;-30.391599655151367;-1.074267864227295;-0.7574321627616882;-0.9624386429786682;4.00016975402832;9.017433166503906;4.00016975402832
